,Name,Lyrics
55,superman,"

tall, dark and superman
he puts papers in his briefcase and drives away
to save the world or go to work
it's the same thing to me
he's got his mother's eyes, his father's ambition
i wonder if he knows how much that i miss him
i hang on every word you say

and you smile and say, ""how are you?""
i'll say, ""just fine.""
i always forget to tell you, i love you, i'll love you forever

i watch superman fly away
you've got a busy day today
go save the world, i'll be around
and i watch superman fly away
come back i'll be with you someday
i'll be right here on the ground
when you come back down

tall, dark and beautiful
he's complicated, he's irrational
but i hope someday you'll take me away and save the day, yeah
something in his deep brown eyes has me sayin'
he's not all bad like his reputation
and i can't hear one single word they say

and you'll leave, got places to be
and i'll be ok
i always forget to tell you i love you, i loved you from the very first day

i watch superman fly away
you've got a busy day today
go save the world i'll be around
and i watch superman fly away
come back i'll be with you someday
i'll be right here on the ground
when you come back down

and i watch you fly around the world
and i hope you don't save some other girl
don't forget, don't forget about me
i'm far away but i never let you go
i'm love-struck and looking out the window
don't forget, don't forget where i'll be
right here wishing the flowers were from you
wishing the card was from you
wishing the call was from you

'cause i loved you from the very first day

i watch superman fly away
you've got a busy day today
go save the world, i'll be around
forever and ever here
i watch superman fly away
i swear i'll be with you someday
i'll be right here on the ground
when you come back down

when you come back down
"
56,state of grace,"

i'm walking fast through the traffic lights
busy streets and busy lives
and all we know
is touch and go

we are alone with our changing minds
we fall in love 'til it hurts or bleeds or fades in time

and i never (never) saw you coming
and i'll never (never) be the same

you come around and the armor falls
pierce the room like a cannonball
now all we know
is don't let go

we are alone, just you and me
up in your room and our slates are clean
just twin fire signs
four blue eyes

so you were never a saint
and i've loved in shades of wrong
we learn to live with the pain
mosaic broken hearts
but this love is brave and wild

and i never (never) saw you coming
and i'll never (never) be the same

this is a state of grace
this is the worthwhile fight
love is a ruthless game
unless you play it good and right

these are the hands of fate
you're my achilles heel
this is the golden age of something good and right and real

and i never (never) saw you coming
and i'll never (never) be the same

and i never (never) saw you coming
and i'll never
(so you were never a saint
i've loved in shades of wrong)
be the same
(we learn to live with the pain
mosaic broken hearts
but this love is brave and wild)

this is a state of grace
this is the worthwhile fight
love is a ruthless game
unless you play it good and right
"
57,red,"

[verse 1:]
loving him is like driving a new maserati down a dead-end street
faster than the wind, passionate as sin, ending so suddenly
loving him is like trying to change your mind once you're already flying through the free fall
like the colors in autumn, so bright just before they lose it all

[chorus:]
losing him was blue like i'd never known
missing him was dark grey all alone
forgetting him was like trying to know somebody you never met
but loving him was red
loving him was red

[verse 2:]
touching him was like realizing all you ever wanted was right there in front of you
memorizing him was as easy as knowing all the words to your old favorite song
fighting with him was like trying to solve a crossword and realizing there's no right answer
regretting him was like wishing you never found out that love could be that strong

[chorus:]
losing him was blue like i'd never known
missing him was dark grey all alone
forgetting him was like trying to know somebody you never met
but loving him was red
oh, red
burning red

[bridge:]
remembering him comes in flashbacks and echoes
tell myself it's time now, gotta let go
but moving on from him is impossible
when i still see it all in my head
in burning red
burning, it was red

[chorus:]
oh, losing him was blue like i'd never known
missing him was dark grey all alone
forgetting him was like trying to know somebody you never met
'cause loving him was red
yeah, yeah, red
we're burning red

[post-chorus:]
and that's why he's spinnin' 'round in my head
comes back to me, burning red
yeah, yeah

his love was like driving a new maserati down a dead-end street
"
58,treacherous,"

put your lips close to mine
as long as they don't touch
out of focus, eye to eye
till the gravity's too much
and i'll do anything you say
if you say it with your hands
and i'd be smart to walk away
but you're quicksand

this slope is treacherous
this path is reckless
this slope is treacherous
and i, i, i like it

i can't decide if it's a choice
getting swept away
i hear the sound of my own voice
asking you to stay
and all we are is skin and bone
trained to get along
forever going with the flow
but you're friction

this slope is treacherous
this path is reckless
this slope is treacherous
i, i, i like it

two headlights shine through the sleepless night
and i will get you a—get you alone
your name has echoed through my mind
and i just think you should, think you should know
that nothing safe is worth the drive
and i would follow you, follow you home
i'll follow you, follow you home

this hope is treacherous
this daydream is dangerous
this hope is treacherous
i, i, i... i, i, i... i, i, i...

two headlights shine through the sleepless night
and i will get you, i'll get you alone
your name has echoed through my mind
and i just think you should, think you should know
that nothing safe is worth the drive
and i would follow you, follow you home
i'll follow you, follow you home
i'll follow you, follow you home
i'll follow you, follow you home

this slope is treacherous
i, i, i like it
"
59,i knew you were trouble,"

[music video spoken part:]
i think - i think when it's all over,
it just comes back in flashes, you know?
it's like a kaleidoscope of memories.
it just all comes back. but he never does.
i think part of me knew the second i saw him that this would happen.
it's not really anything he said or anything he did,
it was the feeling that came along with it.
and the crazy thing is i don't know if i'm ever gonna feel that way again.
but i don't know if i should.
i knew his world moved too fast and burned too bright.
but i just thought, how can the devil be pulling you toward someone who looks so much like an angel when he smiles at you?
maybe he knew that when he saw me.
i guess i just lost my balance.
i think that the worst part of it all wasn't losing him.
it was losing me.

once upon a time, a few mistakes ago
i was in your sights, you got me alone
you found me, you found me, you found me
i guess you didn't care, and i guess i liked that
and when i fell hard you took a step back
without me, without me, without me

and he's long gone when he's next to me
and i realize the blame is on me

'cause i knew you were trouble when you walked in
so shame on me now
flew me to places i'd never been
'til you put me down, oh
i knew you were trouble when you walked in
so shame on me now
flew me to places i'd never been
now i'm lying on the cold hard ground
oh, oh, trouble, trouble, trouble
oh, oh, trouble, trouble, trouble

no apologies. he'll never see you cry,
pretends he doesn't know that he's the reason why
you're drowning, you're drowning, you're drowning
now i heard you moved on from whispers on the street
a new notch in your belt is all i'll ever be
and now i see, now i see, now i see

he was long gone when he met me
and i realize the joke is on me, yeah!

i knew you were trouble when you walked in
so shame on me now
flew me to places i'd never been
'til you put me down, oh
i knew you were trouble when you walked in
so shame on me now
flew me to places i'd never been
now i'm lying on the cold hard ground
oh, oh, trouble, trouble, trouble
oh, oh, trouble, trouble, trouble

and the saddest fear comes creeping in
that you never loved me or her, or anyone, or anything, yeah

i knew you were trouble when you walked in
so shame on me now
flew me to places i'd never been
'til you put me down, oh
i knew you were trouble when you walked in (you were right there, you were right there)
so shame on me now
flew me to places i'd never been
now i'm lying on the cold hard ground
oh, oh, trouble, trouble, trouble
oh, oh, trouble, trouble, trouble

i knew you were trouble when you walked in
trouble, trouble, trouble
i knew you were trouble when you walked in
trouble, trouble, trouble

[music video spoken part:]
i don't know if you know who you are until you lose who you are.
"
60,all too well,"

i walked through the door with you, the air was cold
but something 'bout it felt like home somehow
and i left my scarf there at your sister's house
and you've still got it in your drawer even now

oh, your sweet disposition and my wide-eyed gaze
we're singing in the car, getting lost upstate
autumn leaves falling down like pieces into place
and i can picture it after all these days

and i know it's long gone
and that magic's not here no more
and i might be okay
but i'm not fine at all

'cause there we are again on that little town street
you almost ran the red 'cause you were looking over at me
wind in my hair, i was there, i remember it all too well

photo album on the counter, your cheeks were turning red
you used to be a little kid with glasses in a twin sized bed
and your mother's telling stories about you on a tee ball team
you taught me 'bout your past, thinking your future was me

and i know it's long gone
and there was nothing else i could do
and i forget about you long enough
to forget why i needed to

'cause there we are again in the middle of the night
we're dancing around the kitchen in the refrigerator light
down the stairs, i was there, i remember it all too well, yeah

well, maybe we got lost in translation, maybe i asked for too much
but maybe this thing was a masterpiece 'til you tore it all up
running scared, i was there, i remember it all too well

hey, you call me up again just to break me like a promise
so casually cruel in the name of being honest
i'm a crumpled up piece of paper lying here
'cause i remember it all, all, all... too well

time won't fly, it's like i'm paralyzed by it
i'd like to be my old self again, but i'm still trying to find it
after plaid shirt days and nights when you made me your own
now you mail back my things and i walk home alone

but you keep my old scarf from that very first week
'cause it reminds you of innocence and it smells like me
you can't get rid of it 'cause you remember it all too well, yeah

'cause there we are again, when i loved you so
back before you lost the one real thing you've ever known
it was rare, i was there, i remember it all too well

wind in my hair, you were there, you remember it all
down the stairs, you were there, you remember it all
it was rare, i was there, i remember it all too well
"
61,22,"

it feels like a perfect night to dress up like hipsters
and make fun of our exes, uh uh, uh uh.
it feels like a perfect night for breakfast at midnight
to fall in love with strangers, uh uh, uh uh.

yeah,
we're happy, free, confused, and lonely at the same time
it's miserable and magical.
oh, yeah
tonight's the night when we forget about the deadlines
it's time

uh oh!
i don't know about you
but i'm feeling 22
everything will be alright
if you keep me next to you
you don't know about me
but i'll bet you want to
everything will be alright
if we just keep dancing like we're
22, ooh-ooh
22, ooh-ooh

it seems like one of those nights,
this place is too crowded.
too many cool kids, uh uh, uh uh (who's taylor swift anyway, ew?)
it seems like one of those nights,
we ditch the whole scene and end up dreaming
instead of sleeping.

yeah,
we're happy, free, confused, and lonely in the best way
it's miserable and magical.
oh, yeah
tonight's the night when we forget about the heartbreaks
it's time

uh oh! (hey!)
i don't know about you
but i'm feeling 22
everything will be alright
if you keep me next to you
you don't know about me
but i'll bet you want to
everything will be alright (alright)
if we just keep dancing like we're
22, ooh-ooh (oh, oh, oh)
22, ooh-ooh
i don't know about you
22, ooh-ooh
22, ooh-ooh

it feels like one of those nights,
we ditch the whole scene.
it feels like one of those nights,
we won't be sleeping.
it feels like one of those nights,
you look like bad news.
i gotta have you,
i gotta have you.

ooh-ooh
ooh-ooh, ye-e-e-e-eah, hey
i don't know about you (i don't know about you)
but i'm feeling 22
everything will be alright
if you keep me next to you
you don't know about me (you don't know about me)
but i'll bet you want to
everything will be alright
if we just keep dancing like we're
22, ooh-ooh
22, ooh-ooh
22, ooh-ooh, yeah, yeah
22, ooh-ooh, yeah, yeah, yeah

it feels like one of those nights,
we ditch the whole scene
it feels like one of those nights,
we won't be sleeping
it feels like one of those nights,
you look like bad news,
i gotta have you,
i gotta have you.
"
62,i almost do,"

i bet this time of night you're still up.
i bet you're tired from a long hard week.
i bet you're sitting in your chair by the window looking out at the city.
and i bet sometimes you wonder about me.

and i just wanna tell you
it takes everything in me not to call you.
and i wish i could run to you.
and i hope you know that every time i don't
i almost do,
i almost do.

i bet you think i either moved on or hate you
'cause each time you reach out there's no reply.
i bet it never ever occurred to you that i can't say ""hello"" to you
and risk another goodbye.

and i just wanna tell you
it takes everything in me not to call you.
and i wish i could run to you.
and i hope you know that every time i don't
i almost do,
i almost do.

oh, we made quite a mess, babe.
it's probably better off this way.
and i confess, babe,
in my dreams you're touching my face
and asking me if i wanna try again with you.
and i almost do.

and i just wanna tell you
it takes everything in me not to call you.
and i wish i could run to you.
and i hope you know that every time i don't
i almost do,
i almost do.

i bet this time of night you're still up.
i bet you're tired from a long hard week.
i bet you're sitting in your chair by the window looking out at the city.
and i hope sometimes you wonder about me.
"
63,we are never ever getting back together,"

i remember when we broke up the first time
saying, ""this is it, i've had enough,"" 'cause like
we hadn't seen each other in a month
when you said you needed space. (what?)
then you come around again and say
""baby, i miss you and i swear i'm gonna change, trust me.""
remember how that lasted for a day?
i say, ""i hate you,"" we break up, you call me, ""i love you.""

ooh, we called it off again last night
but ooh, this time i'm telling you, i'm telling you

we are never ever ever getting back together,
we are never ever ever getting back together,
you go talk to your friends, talk to my friends, talk to me
but we are never ever ever ever getting back together

like, ever...

i'm really gonna miss you picking fights
and me falling for it screaming that i'm right
and you would hide away and find your peace of mind
with some indie record that's much cooler than mine

ooh, you called me up again tonight
but ooh, this time i'm telling you, i'm telling you

we are never, ever, ever getting back together
we are never, ever, ever getting back together
you go talk to your friends, talk to my friends, talk to me (talk to me)
but we are never ever ever ever getting back together

ooh, yeah, ooh yeah, ooh yeah
oh oh oh

i used to think that we were forever ever
and i used to say, ""never say never...""
uggg... so he calls me up and he's like, ""i still love you,""
and i'm like... ""i just... i mean this is exhausting, you know, like,
we are never getting back together. like, ever""

no!

we are never ever ever getting back together
we are never ever ever getting back together
you go talk to your friends, talk to my friends, talk to me
but we are never ever ever ever getting back together

we, ooh, getting back together, ohhh,
we, ooh, getting back together

you go talk to your friends, talk to my friends, talk to me (talk to me)
but we are never ever ever ever getting back together
"
64,stay stay stay,"

i'm pretty sure we almost broke up last night.
i threw my phone across the room at you.
i was expecting some dramatic turn-away,
but you stayed.

this morning i said we should talk about it.
'cause i read you should never leave a fight unresolved.
that's when you came in wearing a football helmet and said, ""okay, let's talk.""

and i said,
stay, stay, stay.
i've been lovin' you for quite some time, time, time.
you think that it's funny when i'm mad, mad, mad.
but i think that it's best if we both stay.

before you i'd only dated self-indulgent takers,
who took all of their problems out on me.
but you carry my groceries, and now i'm always laughin'.
and i love you because you have given me no choice but to...

stay, stay, stay.
i've been lovin' you for quite some time, time, time.
you think that it's funny when i'm mad, mad, mad.
but i think that it's best if we both stay, stay, stay, stay.

you took the time to memorize me:
my fears, my hopes, and dreams.
i just like hangin' out with you all the time.
all those times that you didn't leave;
it's been occurring to me i'd like to hang out with you for my whole life.

stay.
and i'll be loving you for quite some time.
no one else is gonna love me, when i get mad, mad, mad.
so i think that it's best if we both stay, stay, stay, stay, stay, stay.

stay, stay, stay.
i've been lovin' you for quite some time, time, time.
you think that it's funny when i'm mad, mad, mad.
but i think that it's best if we both stay, stay, stay, stay, stay, stay.

stay, stay, stay.
i've been lovin' you for quite some time, time, time.
you think that it's funny when i'm mad, mad, mad.
but i think that it's best if we both stay.

[background:] that's so fun!
"
65,the last time,"

[gary lightbody:]
i find myself at your door,
just like all those times before,
i'm not sure how i got there,
all roads—they lead me here.

i imagine you are home,
in your room, all alone,
and you open your eyes into mine,
and everything feels better,

[both:]
and right before your eyes,
i'm breaking, no past
no reasons why,
just you and me.

this is the last time i'm asking you this,
put my name at the top of your list,
this is the last time i'm asking you why,
you break my heart in the blink of an eye, eye, eye.

[taylor swift:]
you find yourself at my door,
just like all those times before,
you wear your best apology,
but i was there to watch you leave,

and all the times i let you in,
just for you to go again,
disappear when you come back,
everything is better.

[both:]
and right before your eyes,
i'm aching, no past
nowhere to hide,
just you and me...

this is the last time i'm asking you this,
put my name at the top of your list,
this is the last time i'm asking you why,
you break my heart in the blink of an eye, eye, eye...

[taylor swift:] this is the last time you tell me i've got it wrong,
[gary lightbody:] this is the last time i say it's been you all along,
[taylor swift:] this is the last time i let you in my door,
[gary lightbody:] this is the last time, i won't hurt you anymore.

oh, oh, oh,

this is the last time i'm asking you this,
put my name at the top of your list,
this is the last time i'm asking you why,
you break my heart in the blink of an eye.

[4x:]
this is the last time i'm asking you,
last time i'm asking you,
last time i'm asking you this...
"
66,holy ground,"

i was reminiscing just the other day,
while having coffee all alone and lord, it took me away.
back to a first-glance feeling on new york time.
back when you fit in my poems like a perfect rhyme.
took off faster than a green light ""go"".
yeah, you skipped the conversation when you already know.
i left a note on the door with a joke we’d made,
and that was the first day.

and darling, it was good never looking down.
and right there where we stood was holy ground.

spinning like a girl in a brand new dress,
we had this big wide city all to ourselves.
we blocked the noise with the sound of ‘i need you’,
and for the first time i had something to lose,
and i guess we fell apart in the usual way.
and the story’s got dust on every page,
but sometimes i wonder how you think about it now.
and i see your face in every crowd.

cause darling, it was good never looking down.
and right there where we stood was holy ground.

tonight i’m gonna dance for all that we’ve been through.
but i don’t wanna dance if i’m not dancing with you.
tonight i’m gonna dance like you were in this room.
but i don’t wanna dance if i’m not dancing with you,

it was good never looking down.
and right there where we stood was holy ground.

tonight i’m gonna dance for all that we’ve been through.
but i don’t wanna dance if i’m not dancing with you.
tonight i’m gonna dance like you were in this room.
but i don’t wanna dance if i’m not dancing with you.
"
67,sad beautiful tragic,"

long handwritten note deep in your pocket
words, how little they mean when you're a little too late
i stood right by the tracks, your face in a locket
good girls, hopeful they'll be and long they will wait

we had a beautiful magic love there
what a sad beautiful tragic love affair

in dreams i meet you in warm conversation
we both wake in lonely beds, different cities
and time is taking its sweet time erasing you
and you've got your demons, and, darling, they all look like me

'cause we had a beautiful magic love there
what a sad beautiful tragic love affair

distance, timing, breakdown, fighting
silence, the train runs off its tracks
kiss me, try to fix it, could you just try to listen?
hang up, give up and for the life of us we can't get back

a beautiful magic love there
what a sad beautiful tragic, beautiful tragic, beautiful

and we had a beautiful magic love there
what a sad beautiful tragic love affair

we had a beautiful magic love there
what a sad beautiful tragic love affair
"
68,the lucky one,"

new to town with a made up name in the angel's city,
chasing fortune and fame.
and the camera flashes, make it look like a dream.

you had it figured out since you were in school.
everybody loves pretty, everybody loves cool.
so overnight you look like a sixties’ queen.

another name goes up in lights, like diamonds in the sky.

and they’ll tell you now, you’re the lucky one.
yeah, they’ll tell you now, you’re the lucky one.
but can you tell me now, you’re the lucky one, oh, oh, oh...

now it’s big black cars, and riviera views,
and your lover in the foyer doesn't even know you
and your secrets end up splashed on the news front page.

and they tell you that you’re lucky.
but you’re so confused,
'cause you don’t feel pretty, you just feel used.
and all the young things line up to take your place.

another name goes up in lights. you wonder if you’ll make it out alive.

and they’ll tell you now, you’re the lucky one.
yeah, they’ll tell you now, you’re the lucky one.
can you tell me now, you’re the lucky one, oh, oh, oh.

it was a few years later, i showed up here.
and they still tell the legend of how you disappeared,
how you took the money and your dignity, and got the hell out.
they say you bought a bunch of land somewhere,
chose the rose garden over madison square,
and it took some time, but i understand it now.

‘cause now my name is up in lights, but i think you got it right,

let me tell you now, you’re the lucky one.
let me tell you now, you’re the lucky one.
let me tell you now, you’re the lucky one, oh, oh, oh.

yeah they’ll tell you now, you’re the lucky one.
yeah, they’ll tell you now, you’re the lucky one.
and they’ll tell you now, you’re the lucky one, oh, oh, oh.
oh, whoa, oh, oh
"
69,everything has changed,"

[taylor swift]
all i knew this morning when i woke
is i know something now, know something now i didn't before.
and all i've seen since eighteen hours ago
is green eyes and freckles and your smile
in the back of my mind making me feel like

[taylor swift]
i just wanna know you better, know you better, know you better now
i just wanna know you better, know you better, know you better now

[both]
i just wanna know you better, know you better, know you better now
i just wanna know you, know you, know you

[both]
'cause all i know is we said, ""hello.""
and your eyes look like coming home
all i know is a simple name
everything has changed
all i know is you held the door
you'll be mine and i'll be yours
all i know since yesterday is everything has changed

[ed sheeran]
and all my walls stood tall painted blue
and i'll take them down, take them down and open up the door for you

[taylor swift (album version) / ed sheeran (remix version):]
and all i feel in my stomach is butterflies
the beautiful kind, making up for lost time,
[album version:] taking flight, making me feel right
[remix version:] taking flight, making me feel right like

[both]
i just wanna know you better, know you better, know you better now
i just wanna know you better, know you better, know you better now
i just wanna know you better, know you better, know you better now
i just wanna know you, know you, know you

[both]
'cause all i know is we said, ""hello.""
and your eyes look like coming home
all i know is a simple name
everything has changed
all i know is you held the door
and you'll be mine and i'll be yours
all i know since yesterday is everything has changed

[bridge]
come back and tell me why
i'm feeling like i've missed you all this time, oh, oh, oh.
and meet me there tonight
and let me know that it's not all in my mind.

[taylor swift]
i just wanna know you better, know you better, know you better now
i just wanna know you, know you, know you

[both]
all i know is we said, ""hello.""
and your eyes look like coming home
all i know is a simple name
everything has changed
all i know is you held the door
you'll be mine and i'll be yours
all i know since yesterday is everything has changed

[taylor swift]
all i know is we said, ""hello.""
so dust off your highest hopes
all i know is pouring rain and everything has changed
all i know is a new found grace
all my days i'll know your face
all i know since yesterday is everything has changed
"
70,starlight,"

i said, ""oh my, what a marvelous tune""
it was the best night, never would forget how we moved.
the whole place was dressed to the nines,
and we were dancing, dancing
like we're made of starlight
like we're made of starlight

i met bobby on the boardwalk, summer of '45
picked me up late one night out the window,
we were 17 and crazy, running wild, wild
can't remember what song it was playing when we walked in
the night we snuck into a yacht club party
pretending to be a duchess and a prince

and i said, ""oh my, what a marvelous tune.""
it was the best night, never would forget how we moved.
the whole place was dressed to the nines,
and we were dancing, dancing
like we're made of starlight, starlight
like we're made of starlight, starlight

he said, ""look at you: worrying too much about things you can't change.
you'll spend your whole life singing the blues if you keep thinking that way.""
he was tryna skip rocks on the ocean, saying to me,
""don't you see the starlight, starlight?
don't you dream impossible things?""

like ""oh my, what a marvelous tune.""
it was the best night, never would forget how we moved
the whole place was dressed to the nines,
and we were dancing, dancing
like we're made of starlight, starlight
like we're made of starlight, starlight

ooh, ooh, he's talking crazy
ooh, ooh, dancing with me
ooh, ooh, we could get married
have ten kids and teach them how to dream

oh my, what a marvelous tune
it was the best night, never would forget how we moved
the whole place was dressed to the nines,
and we were dancing, dancing
like we're made of starlight, starlight
like we're made of starlight, starlight
like we're made of starlight, starlight
like we dream impossible dreams
like starlight, starlight
like we dream impossible dreams
don't you see the starlight, starlight?
don't you dream impossible things?
"
71,begin again,"

took a deep breath in the mirror
he didn't like it when i wore high heels
but i do
turn the lock and put my headphones on
he always said he didn't get this song
but i do, i do

walked in expecting you'd be late
but you got here early and you stand and wave
i walk to you
you pull my chair out and help me in
and you don't know how nice that is
but i do

and you throw your head back laughing like a little kid
i think it's strange that you think i'm funny 'cause he never did
i've been spending the last eight months
thinking all love ever does is break and burn and end
but on a wednesday in a cafe i watched it begin again

you said you never met one girl
who had as many james taylor records as you
but i do
we tell stories and you don't know why
i'm coming off a little shy
but i do

but you throw your head back laughing like a little kid
i think it's strange that you think i'm funny 'cause he never did

i've been spending the last eight months
thinking all love ever does is break and burn and end
but on a wednesday in a cafe i watched it begin again

and we walked down the block to my car and i almost brought him up
but you start to talk about the movies that your family
watches
every single christmas and i want to talk about that
and for the first time what's past is past

'cause you throw your head back laughing like a little kid
i think it's strange that you think i'm funny 'cause he never did
i've been spending the last eight months

thinking all love ever does is break and burn and end
but on a wednesday in a cafe i watched it begin again

but on a wednesday in a cafe i watched it begin again
"
72,the moment i knew,"

you should've been there,
should've burst through the door,
with that 'baby i'm right here' smile,
and it would've felt like,
a million little shining stars had just aligned,
and i would've been so happy.

christmas lights glisten,
i've got my eye on the door,
just waiting for you to walk in,
but the time is ticking,
people ask me how i've been
as i comb back through my memory,
how you said you'd be here,
you said you'd be here.

and it was like slow motion,
standing there in my party dress,
in red lipstick,
with no one to impress,
and they're all laughing,
as i'm looking around the room,
but there's one thing missing,
and that was the moment i knew.

and the hours pass by,
now i just wanna be alone,
but your close friends always seem to know
when there's something really wrong,
so they follow me down the hall,
and there in the bathroom,
i try not to fall apart,
and the sinking feeling starts,
as i say hopelessly,
""he said he'd be here.""

and it was like slow motion,
standing there in my party dress,
in red lipstick,
with no one to impress,
and they're all laughing,
and asking me about you,
but there was one thing missing,
and that was the moment i knew.

what do you say
when tears are streaming down your face
in front of everyone you know?
and what do you do when the one
who means the most to you
is the one who didn't show?

you should've been here.
and i would've been so happy.

and it was like slow motion,
standing there in my party dress,
in red lipstick,
with no one to impress,
and they're all standing around me singing
""happy birthday to you"",
but there was one thing missing,
and that was the moment i knew.

ooh, i knew.
ooh,

you called me later,
and said, ""i'm sorry, i didn't make it,""
and i said, ""i'm sorry too,""
and that was the moment i knew.
"
73,come back... be here,"

you said it in a simple way,
4 am, the second day,
how strange that i don't know you at all.
stumbled through the long goodbye,
one last kiss, then catch your flight,
right when i was just about to fall

i told myself, ""don't get attached,""
but in my mind i play it back,
spinning faster than the plane that took you...

and this is when the feeling sinks in,
i don't wanna miss you like this,
come back... be here, come back... be here.
i guess you're in new york today,
i don't wanna need you this way,
come back... be here, come back... be here.

the delicate beginning rush,
the feeling you can know so much,
without knowing anything at all.
and now that i can't put this down,
if i had known what i'd known now,
i never would have played so nonchalant.

taxi cabs and busy streets,
that never bring you back to me,
i can't help but wish you took me with you...

and this is when the feeling sinks in,
i don't wanna miss you like this,
come back... be here, come back... be here.
i guess you're in london today,
i don't wanna need you this way,
come back... be here, come back... be here.

this is falling in love in the cruelest way,
this is falling for you when you are worlds away.

new york... be here.
but you're in london and i break down,
'cause it's not fair that you're not around.

this is when the feeling sinks in,
i don't wanna miss you like this,
come back... be here, come back... be here.
i guess you're in new york today,
and i don't wanna need you this way,
come back... be here, come back... be here.

i don't wanna miss you like this.
come back... be here.
come back... be here.
"
74,girl at home,"

don't look at me,
you've got a girl at home,
and everybody knows that,
everybody knows that,
uh, uh
don't look at me,
you've got a girl at home,
and everybody knows that.

i don't even know her,
but i feel a responsibility,
to do what's upstanding and right,
it's kinda like a code, yeah,
and you've been getting closer and closer,
and crossing so many lines.

and it would be a fine proposition,
if i was a stupid girl,
but honey i am no-one's exception,
this i have previously learned.

so don't look at me,
you've got a girl at home,
and everybody knows that,
everybody knows that,
uh, uh
don't look at me,
you've got a girl at home,
and everybody knows that,
everybody knows that,
i see you turn off your phone,
and now you got me alone,
and i say,
don't look at me,
you've got a girl at home,
and everybody knows that,
everybody knows that.

i just wanna make sure,
you understand perfectly,
you're the kind of man who makes me sad,
while she waits up,
you chase down the newest thing,
and take for granted what you have.

and it would be a fine proposition,
if i was a stupid girl,
and yeah i might go with it,
if i hadn't once been just like her.

don't look at me,
you've got a girl at home,
and everybody knows that,
everybody knows that,
uh, uh
don't look at me,
you've got a girl at home,
and everybody knows that,
everybody knows that,
i see you turn off your phone,
and now you've got me alone,
and i say,
don't look at me,
you've got a girl at home,
and everybody knows that,
everybody knows that.

call a cab,
lose my number,
you're about to lose your girl,
call a cab,
lose my number,
let's consider this lesson learned.

don't look at me,
you've got a girl at home,
and everybody knows that,
everybody knows that,
uh, uh
don't look at me,
you've got a girl at home,
and everybody knows that,
everybody knows that,
wanna see you pick up your phone,
and tell her you're coming home,
don't look at me,
you've got a girl at home,
and everybody knows that,
everybody knows that,
uh, uh
don't look at me,
you've got a girl at home,
and everybody knows that,
everybody knows that.

it would be a fine proposition,
if i hadn't once been just like her.
"
75,welcome to new york,"

walking through a crowd
the village is aglow
kaleidoscope of loud
heartbeats under coats
everybody here
wanted something more
searching for a sound we hadn't
heard before
and it said

welcome to new york
it's been waiting for you
welcome to new york
welcome to new york
welcome to new york
it's been waiting for you
welcome to new york
welcome to new york

it's a new soundtrack
i could dance to this beat, beat
forevermore
the lights are so bright
but they never blind me, me
welcome to new york
it's been waiting for you
welcome to new york
welcome to new york

when we first dropped our bags on
apartment floors
took our broken hearts
put them in a drawer
everybody here was someone else
before
and you can want who you want
boys and boys and
girls and girls

welcome to new york
it's been waiting for you
welcome to new york
welcome to new york
welcome to new york
it's been waiting for you
welcome to new york
welcome to new york

it's a new soundtrack
i could dance to this beat, beat
forevermore
the lights are so bright
but they never blind me, me
welcome to new york (new york)
it's been waiting for you
welcome to new york
welcome to new york

like any great love it keeps you
guessing
like any real love
it's ever changing
like any true love

it drives you crazy
but you know you wouldn't
change anything anything
anything

welcome to new york
it's been waiting for you
welcome to new york
welcome to new york
welcome to new york
it's been waiting for you
welcome to new york
welcome to new york

it's a new soundtrack
i could dance to this beat
the lights are so bright
but they never blind me
welcome to new york
new soundtrack
it's been waiting for you
welcome to new york
the lights are so bright
but they never blind me
welcome to new york
so bright
they never blind me
welcome to new york
welcome to new york
"
